1.	MS Winword 2013: để soạn thảo nhanh một cụm từ lặp lại nhiều lần trong văn bản, ta thiết lập từ gõ tắt bằng cách vào File\Optoin\ Proofing\AutoOptoins..., ta chọn tiếp công cụ nào sau đây?
16.	MS Winword 2013: khi muốn trộn các ô liên tiếp trong Bảng lại thành 1 ô, ta chọn các ô cần trộn và thực hiện cụm thao tác nào sau đây?
A.	Right Click\Merge cells
B.	Insert\Merge cells
C.	Home\Font\Merge cells
D.	Maillings\Start Mail Merge Answer: A

17.	MS Winword 2013: khi muốn chia 1 ô đã được trộn từ nhiều ô khác trong Bảng thành nhiều ô, ta chọn ô cần chia và thực hiện cụm thao tác nào sau đây?
A.	Right Click\Insert\Insert cells
B.	Insert\Cells
C.	Page Layout\Line Numbers
D.	Right Click\Split cells Answer: D

18.	MS Winword 2013: khi muốn chia 1 ô đã được trộn từ nhiều ô khác trong Bảng thành nhiều ô, ta chọn ô cần chia và thực hiện cụm thao tác nào sau đây?
A.	Right Click\Insert\Insert cells
B.	Layout\Split cells
C.	Page Layout\Line Numbers
D.	Insert\Cells Answer: B
 
19.	MS Winword 2013: để định dạng hướng của văn bản trong một ô của Bảng ta chọn ô cần định dạng và thực hiện cụm thao tác nào sau đây?
A.	Right Click\Cells Alignment
B.	Right Click\Text Directoin
C.	Home\Font\ UnderLine Style
D.	View\Gridlines Answer: B

20.	MS Winword 2013: để định dạng hướng của văn bản trong một ô của Bảng ta chọn ô cần định dạng và thực hiện cụm thao tác nào sau đây?
A.	Layout\Cells Alignment
B.	Home\Font\ UnderLine Style
C.	Layout\Text Directoin
D.	View\Gridlines Answer: C

21.	MS Winword 2013: để tạo tiêu đề chung ở chân trang cho các trang văn bản ta thực hiện cụm thao tác nào sau đây?
A.	Insert\Footer
B.	References\Insert Footnote
C.	References\Insert Endnote
D.	Insert\Endnote Answer: A

22.	MS Winword 2013: để tạo chú thích ở cuối trang cho một nội dung nào đó trong trang văn bản, ta thực hiện cụm thao tác nào sau đây?
A.	Insert\Footer
B.	References\Insert Footnote
C.	References\Insert Endnote
D.	Insert\Footnote Answer: B

23.	MS Winword 2013: để tạo chú thích cho một nội dung nào đó trong văn bản và phần chú thích đó được hiển thị ở cuối văn bản, ta thực hiện cụm thao tác nào sau đây?
A.	Insert\Footer
B.	References\Insert Footnote
C.	References\Insert Endnote
D.	Insert\Footnote Answer: C

26.	MS Winword 2013: khi thực hiện thao tác Insert\Picture là để chèn vào văn bản:
A.	Một hình ảnh đã được người dùng lưu trên ổ đĩa
B.	Một hình ảnh lưu trong thư viện hình ảnh của Word
C.	Một mẫu chữ nghệ thuật
 
D.	Một biểu đồ (đồ thị) Answer: A

27.	MS Winword 2013: khi thực hiện thao tác Insert\Chart là để chèn vào văn bản:
A.	Một hình ảnh đã được người dùng lưu trên ổ đĩa
B.	Một hình ảnh lưu trong thư viện hình ảnh của Word
C.	Một mẫu chữ nghệ thuật
D.	Một biểu đồ (đồ thị) Answer: D

28.	MS Winword 2013: khi thực hiện thao tác Insert\Clip Art là để chèn vào văn bản:
A.	Một hình ảnh đã được người dùng lưu trên ổ đĩa
B.	Một hình ảnh lưu trong thư viện hình ảnh của Word
C.	Một mẫu chữ nghệ thuật
D.	Một biểu đồ (đồ thị) Answer: B

29.	MS Winword 2013: khi thực hiện thao tác Insert\WordArt là để chèn vào văn bản:
A.	Một hình ảnh đã được người dùng lưu trên ổ đĩa
B.	Một hình ảnh lưu trong thư viện hình ảnh của Word
C.	Một mẫu chữ nghệ thuật
D.	Một biểu đồ (đồ thị) Answer: C

30.	MS Winword 2013: để tạo mục lục tự động cho văn bản, sau khi thiết lập Level cho các nội dung tạo mục lục, ta đặt con trỏ tại vị trí tạo mục lục và thực hiện cụm thao tác nào sau đây?
A.	References\Table of Contents\Insert Table of Contents
B.	Insert\Table
C.	References\Insert Table of Figure
D.	References\Insert Index Answer: A

31.	MS Winword 2013: khi thực hiện trộn thư ta thực hiện thao tác Mailling\Select Recipients\Use Existing List..., hệ thống sẽ yêu cầu ta làm gì tiếp theo?
A.	Chỉ đường dẫn đến File dữ liệu nguồn cung cấp cho việc trộn thư.
B.	Tạo mới một danh sách dữ liệu cung cấp cho việc trộn thư
C.	Chỉ định trường dữ liệu chèn vào tài liệu gốc
D.	Xem kết quả trộn thư Answer: A

32.	MS Winword 2013: khi thực hiện trộn thư ta thực hiện thao tác Mailling\Select Recipients\Type New List..., hệ thống sẽ yêu cầu ta làm gì tiếp theo?
A.	Chỉ đường dẫn đến File dữ liệu nguồn cung cấp cho việc trộn thư.
 
B.	Tạo mới một danh sách dữ liệu cung cấp cho việc trộn thư
C.	Chỉ định trường dữ liệu chèn vào tài liệu gốc
D.	Xem kết quả trộn thư Answer: B

33.	MS Winword 2013: khi thực hiện trộn thư ta thực hiện thao tác Mailling\Insert Merge Field, hệ thống sẽ yêu cầu ta làm gì tiếp theo?
A.	Chỉ đường dẫn đến File dữ liệu nguồn cung cấp cho việc trộn thư.
B.	Tạo mới một danh sách dữ liệu cung cấp cho việc trộn thư
C.	Chỉ định trường dữ liệu chèn vào tài liệu gốc
D.	Xem kết quả trộn thư Answer: C

37.	MS Winword 2013: khi văn bản được gắn mật khẩu, để làm việc trên văn bản này, người dùng phải nhập mật khẩu khi nào?
A.	Khi thực hiện chỉnh sửa thông tin trên văn bản
B.	Khi Lưu văn bản với nội dung được chỉnh sửa
C.	Khi lưu văn bản với một tên mới
D.	Khi mở văn bản Answer: D

40.	MS Winword 2013: tại cửa sổ Page Setup ta chọn Port Trait với chủ đích gì?
A.	Chỉ định in trang dọc
B.	Chọn khổ giấy A4
C.	Chỉ định in trang ngang
D.	Chọn khổ giấy A5 Answer: A

41.	MS Winword 2013: tại cửa sổ Page Setup ta chọn LandScape với chủ đích gì?
A.	Chỉ định in trang dọc
B.	Chọn khổ giấy A4
C.	Chỉ định in trang ngang
D.	Chọn khổ giấy A5 Answer: C

50.	MS Winword 2013: khi muốn in trang 5, con trỏ soạn thảo đang ở trang 5 trong văn bản có 20 trang, ta thao tác File\Print, tiếp theo ta chỉ định trang in theo cách nào sau đây?
A.	Print Current Page
B.	Tại mục Pages gõ vào 1-5
C.	Tại mục Pages gõ vào 1
D.	Tại mục Pages gõ vào 1-1,5 Answer: A
 
51.	MS Winword 2013: Chủ đề nào không thuộc Menu Home
A.	Links
B.	Font
C.	Paragraph
D.	Styles Answer: A

52.	MS Winword 2013: Chủ đề nào không thuộc Menu Home
A.	Tables
B.	Font
C.	Paragraph
D.	Styles Answer: A

53.	MS Winword 2013: Chủ đề nào không thuộc Menu Home
A.	Header & Footer
B.	Font
C.	Paragraph
D.	Styles Answer: A

54.	MS Winword 2013: Chủ đề nào không thuộc Menu Home
A.	Text
B.	Font
C.	Paragraph
D.	Styles Answer: A

55.	MS Winword 2013: Chủ đề nào không thuộc Menu Insert
A.	Font
B.	Links
C.	Tables
D.	Header & Footer Answer: A

56.	MS Winword 2013: Chủ đề nào không thuộc Menu Insert
A.	Paragraph
B.	Links
C.	Tables
D.	Header & Footer Answer: A

57.	MS Winword 2013: Chủ đề nào không thuộc Menu Insert
A.	Styles
 
B.	Links
C.	Tables
D.	Header & Footer Answer: A

58.	MS Winword 2013: Chủ đề nào không thuộc Menu Insert
A.	Clipboard
B.	Links
C.	Tables
D.	Header & Footer Answer: A

59.	MS Winword 2013: Chủ đề nào không thuộc Menu Insert
A.	Editing
B.	Links
C.	Tables
D.	Header & Footer Answer: A

60.	MS Winword 2013: Chủ đề nào thuộc Menu Page Layout
A.	Themes
B.	Links
C.	Font
D.	Styles Answer: A

61.	MS Winword 2013: Chủ đề nào thuộc Menu Page Layout
A.	Page Setup
B.	Links
C.	Font
D.	Styles Answer: A

62.	MS Winword 2013: Chủ đề nào thuộc Menu Page Layout
A.	Paragraph
B.	Links
C.	Font
D.	Styles Answer: A

63.	MS Winword 2013: Chủ đề nào thuộc Menu Page Layout
A.	Page Backgroud
B.	Links
C.	Font
 
D.	Styles Answer: A

64.	MS Winword 2013: Chủ đề nào thuộc Menu Page Layout
A.	Arrange
B.	Links
C.	Font
D.	Styles Answer: A

65.	MS Winword 2013: Chủ đề nào thuộc Menu Insert
A.	Links
B.	Page Setup
C.	Page Backgroud
D.	Paragraph Answer: A

66.	MS Winword 2013: Chủ đề nào thuộc Menu Insert
A.	Tables
B.	Page Setup
C.	Page Backgroud
D.	Paragraph Answer: A

67.	MS Winword 2013: Chủ đề nào thuộc Menu Insert
A.	Header & Footer
B.	Page Setup
C.	Page Backgroud
D.	Paragraph Answer: A

68.	MS Winword 2013: Chủ đề nào thuộc Menu Insert
A.	Pages
B.	Page Setup
C.	Page Backgroud
D.	Paragraph Answer: A

69.	MS Winword 2013: Chủ đề nào thuộc Menu Insert
A.	Symbols
B.	Page Setup
C.	Page Backgroud
D.	Paragraph Answer: A
 
70.	MS Winword 2013: Chủ đề nào thuộc Menu Home
A.	Font
B.	Links
C.	Themes
D.	Symbols Answer: A

71.	MS Winword 2013: Chủ đề nào thuộc Menu Home
A.	Paragraph
B.	Links
C.	Themes
D.	Symbols Answer: A

72.	MS Winword 2013: Chủ đề nào thuộc Menu Home
A.	Styles
B.	Links
C.	Themes
D.	Symbols Answer: A

73.	MS Winword 2013: Chủ đề nào thuộc Menu Home
A.	Editing
B.	Links
C.	Themes
D.	Symbols Answer: A

74.	MS Winword 2013: Chủ đề nào thuộc Menu References
A.	Table of Contents
B.	Page Setup
C.	Tables
D.	Paragraph Answer: A

75.	MS Winword 2013: Chủ đề nào thuộc Menu References
A.	Footnotes
B.	Page Setup
C.	Tables
D.	Paragraph Answer: A

76.	MS Winword 2013: Chủ đề nào thuộc Menu References
 
A.	Captions
B.	Page Setup
C.	Tables
D.	Paragraph Answer: A

77.	MS Winword 2013: Chủ đề nào thuộc Menu References
A.	Index
B.	Page Setup
C.	Tables
D.	Paragraph Answer: A

78.	MS Winword 2013: Chủ đề nào thuộc Menu References
A.	Table of Authorities
B.	Page Setup
C.	Tables
D.	Paragraph Answer: A
79.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Themes
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

80.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Page Setup
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

81.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Paragraph
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

82.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Page Backgroud
B.	Index
C.	Footnotes
 
D.	Table of Contents Answer: A

83.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Arrange
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

84.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Links
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

85.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Tables
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

86.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Header & Footer
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

87.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Pages
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

88.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Symbols
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A
 
89.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Font
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

90.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Paragraph
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

91.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Styles
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

92.	MS Winword 2013: Chủ đề nào không thuộc Menu References
A.	Editing
B.	Index
C.	Footnotes
D.	Table of Contents Answer: A

93.	MS Winword 2013: Lệnh nào để chọn danh sách khi thực hiện Mailings
A.	Start Mail Merge
B.	Finish
C.	Preview Results
D.	Insert Merge Field Answer: A

94.	MS Winword 2013: Lệnh nào để chèn thông tin khi thực hiện Mailings
A.	Insert Merge Field
B.	Finish
C.	Preview Results
D.	Start Mail Merge Answer: A

95.	MS Winword 2013: Lệnh nào để xem trước trộn thư khi thực hiện Mailings
 
A.	Preview Results
B.	Start Mail Merge
C.	Finish
D.	Insert Merge Field Answer: A

96.	MS Winword 2013: Lệnh nào thực hiện trộn thư khi thực hiện Mailings
A.	Finish
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

97.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Footnotes
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

98.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Index
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

99.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Links
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

100.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Footnotes
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

101.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Captions
B.	Start Mail Merge
 
C.	Preview Results
D.	Insert Merge Field Answer: A

102.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Editing
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

103.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Insert Merge Field
B.	Arrange
C.	Start Mail Merge
D.	Preview Results Answer: B

104.	MS Winword 2013: Lệnh nào không thuộc công việc Mailings
A.	Themes
B.	Start Mail Merge
C.	Preview Results
D.	Insert Merge Field Answer: A

105.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để thụt đầu dòng đoạn văn bản
A.	Indent
B.	Paragraph: Tab
C.	Numberring
D.	Column Answer: A

106.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để thụt dòng con đoạn văn bản
A.	Indent
B.	Paragraph: Tab
C.	Numberring
D.	Column Answer: A

107.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh từ giữa văn bản
A.	Paragraph
B.	Dropcap
 
C.	Numberring
D.	Column Answer: A

108.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh từ bên trái văn bản
A.	Paragraph
B.	Dropcap
C.	Numberring
D.	Column Answer: A

109.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh từ bên phải văn bản
A.	Paragraph
B.	Dropcap
C.	Numberring
D.	Column Answer: A

110.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh đều văn bản
A.	Paragraph
B.	Dropcap
C.	Numberring
D.	Column Answer: A

111.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để chọn màu chữ của từ
A.	Font
B.	Indent
C.	Numberring
D.	Column Answer: A

112.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để chọn màu nền của từ
A.	Font
B.	Indent
C.	Numberring
D.	Column Answer: A

113.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để làm nghiêng từ
A.	Font
B.	Indent
C.	Numberring
D.	Column
 
Answer: A

114.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để làm đậm từ
A.	Font
B.	Indent
C.	Numberring
D.	Column Answer: A

115.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để gạch chân từ
A.	Font
B.	Indent
C.	Numberring
D.	Column Answer: A

116.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh giữa từ ở vị trí bất kỳ
A.	Tab
B.	Dropcap
C.	Numberring
D.	Column Answer: A

117.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh trái từ ở vị trí bất kỳ
A.	Tab
B.	Dropcap
C.	Numberring
D.	Column Answer: A

118.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để canh phải từ ở vị trí bất kỳ
A.	Tab
B.	Dropcap
C.	Numberring
D.	Column Answer: A

119.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng cách dòng trên của dòng đang chọn
A.	Paragraph - Spacing
B.	Paragraph - Tab
 
C.	Paragraph - Leader
D.	Paragraph - Font Answer: A

120.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng cách dòng dưới của dòng đang chọn
A.	Paragraph - Spacing
B.	Paragraph - Tab
C.	Paragraph - Leader
D.	Paragraph - Font Answer: A

121.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để tạo các dấu chấm tự động
A.	Paragraph - Tab
B.	Paragraph - Spacing
C.	Paragraph - Leader
D.	Paragraph - Font Answer: A

122.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để tạo chỉ mục 3.1.1
A.	Numberring
B.	Indent
C.	Font
D.	Column Answer: A

123.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để chia các đoạn văn thành 2 cột
A.	Column
B.	Indent
C.	Font
D.	Numberring Answer: A

124.	MS Winword 2013: Chủ đề định dạng nào sau đây dùng để chia các đoạn văn thành 4 cột
A.	Column
B.	Indent
C.	Font
D.	Numberring Answer: A

125.	MS Winword 2013: Kỹ thuật nào dùng gộp các ô của Table
 
A.	Merge cell
B.	Auto Fix
C.	Cell Alignment
D.	Border & Shadding Answer: A

126.	MS Winword 2013: Kỹ thuật nào dùng chỉnh độ rộng của Table
A.	Auto Fix
B.	Merge cell
C.	Cell Alignment
D.	Border & Shadding Answer: A

127.	MS Winword 2013: Kỹ thuật nào dùng canh chữ nằm giữa trong ô của Table
A.	Cell Alignment
B.	Auto Fix
C.	Merge cell
D.	Border & Shadding Answer: A

128.	MS Winword 2013: Kỹ thuật nào dùng kẻ các đường ngoài cùng của Table
A.	Border & Shadding
B.	Auto Fix
C.	Cell Alignment
D.	Merge cell Answer: A

129.	MS Winword 2013: Kỹ thuật nào dùng kẻ đường chéo trong ô của Table
A.	Border & Shadding
B.	Auto Fix
C.	Cell Alignment
D.	Merge cell Answer: A

130.	MS Winword 2013: Kỹ thuật nào dùng đặt chữ dọc trong ô của Table
A.	Text Direction
B.	Auto Fix
C.	Cell Alignment
D.	Merge cell Answer: A

131.	MS Winword 2013: Kỹ thuật nào dùng tô màu nền các dòng của Table
A.	Border & Shadding
B.	Auto Fix
 
C.	Cell Alignment
D.	Merge cell Answer: A

132.	MS Winword 2013: Kỹ thuật nào dùng chọn kiểu tô nền các dòng của Table
A.	Border & Shadding
B.	Auto Fix
C.	Cell Alignment
D.	Merge cell Answer: A

133.	MS Winword 2013: Kỹ thuật nào cố định bức hình trong văn bản
A.	In Line with Text
B.	In Front of Text
C.	Tight
D.	Paragraph - Font Answer: A

134.	MS Winword 2013: Kỹ thuật nào cho phép bức hình đi tự do trong văn bản
A.	In Front of Text
B.	In Line with Text
C.	Tight
D.	Paragraph - Font Answer: A

135.	MS Winword 2013: Kỹ thuật nào đặt bức hình lọt giữa văn bản
A.	Tight
B.	In Front of Text
C.	In Line with Text
D.	Paragraph - Font Answer: A

136.	MS Winword 2013: Kỹ thuật nào đặt bức hình lọt giữa văn bản
A.	Square
B.	In Front of Text
C.	Tight
D.	Paragraph - Font Answer: A

137.	MS Winword 2013: Kỹ thuật nào đặt bức hình lọt giữa văn bản
A.	Through
B.	In Front of Text
C.	Tight
D.	Paragraph - Font
 
Answer: A

138.	MS Winword 2013: Kỹ thuật nào quy định cách đặt hình ảnh trong văn bản
A.	Wrap Text
B.	Add Text
C.	Edit Points
D.	Insert Caption Answer: A

139.	MS Winword 2013: Kỹ thuật nào chèn chữ vào hình shape
A.	Add Text
B.	Wrap Text
C.	Edit Points
D.	Insert Caption Answer: A

140.	MS Winword 2013: Kỹ thuật nào làm thay đổi vị trí các cạnh hình shape
A.	Edit Points
B.	Add Text
C.	Wrap Text
D.	Insert Caption Answer: A

141.	MS Winword 2013: Kỹ thuật nào chèn tiêu đề cho hình shape
A.	Insert Caption
B.	Add Text
C.	Edit Points
D.	Wrap Text Answer: A

150.	MS Winword 2013: Kỹ thuật nào để di chuyển number khi định dạng Numbering
A.	First Line
B.	Hanging
C.	Left Indent
D.	Right Indent Answer: A

151.	MS Winword 2013: kỹ thuật nào để di chuyển tiêu đề khi định dạng Numbering
A.	Hanging
B.	First Line
C.	Left Indent
D.	Right Indent Answer: A
 
152.	MS Winword 2013: kỹ thuật nào để di chuyển tiêu đề khi định dạng Numbering
A.	Tab
B.	First Line
C.	Left Indent
D.	Right Indent Answer: A

166.	MS Winword 2013: Độ rộng của Table sử dụng kỹ thuật nào
A.	AutoFix Contents
B.	AutoFix Windows
C.	Tự do
D.	Paragraph - Font Answer: A

167.	MS Winword 2013: để Table nằm nhưng trong văn bản, ta sử dụng kỹ thuật nào
A.	Paragraph
B.	Column
C.	Tab
D.	Numbering Answer: A

168.	MS Winword 2013: để tạo khoảng hở của các dòng, các đoạn trong văn bản, ta sử dụng kỹ thuật nào
A.	Paragraph
B.	Phím Enter
C.	Font
D.	Numbering Answer: A

25.	MS Excel 2013: để gắn mật khẩu cho Workbook hiện hành ta thực hiện cụm thao tác nào sau đây?
A.	vào File\Info\Protect Workbook\Encrypt With Password
B.	vào File\Info\Protect Workbook\Protect CurrentSheet
C.	vào File\Info\Protect Workbook\Protect Workbook Structure
D.	Click chuột phải tại tên Sheet\Protect Sheet Answer: A
26.	MS Excel 2013: để gắn mật khẩu cho Work Sheet hiện hành ta thực hiện cụm thao tác nào sau đây?
A.	Vào File\Info\Protect Workbook\Encrypt With Password
B.	Vào File\New\Info\Protect Workbook\Protect CurrentSheet
C.	Vào File\New\ Protect CurrentSheet
D.	Vào File\Edit\ Protect CurrentSheet Answer: A
 
27.	MS Excel 2013: để gắn mật khẩu cho Workbook hệ thống yêu cầu ta nhập mật khẩu mấy lần?
A.	1
B.	2
C.	3
D.	1 hoặc 2 lần đều được Answer: B

28.	MS Excel 2013: để mở một Workbook đã được gắn mật khẩu hệ thống yêu cầu ta nhập mật khẩu mấy lần?
A.	1
B.	2
C.	Không yêu cầu nhập.
D.	1 hoặc 2 lần đều được Answer: A

29.	MS Excel 2013: để gắn mật khẩu cho WorkSheet hệ thống yêu cầu ta nhập mật khẩu mấy lần?
A.	1
B.	2
C.	3
D.	1 hoặc 2 lần đều được Answer: B
30.	MS Excel 2013: để thao tác trên WorkSheet đã được gắn mật khẩu hệ thống yêu cầu ta nhập mật khẩu mấy lần?
A.	1
B.	2
C.	Không yêu cầu nhập mật khẩu vì gắn mật khẩu chỉ để bảo vệ WorkSheet không bị xóa.
D.	1 hoặc 2 lần đều được Answer: A
31.	MS Excel 2013: để xóa mật khẩu cho Workbook hiện hành ta thực hiện cụm thao tác nào sau đây?
A.	vào File\Info\Protect Workbook\Encrypt With Password, xóa mật khẩu và lưu Flie
B.	vào File\Info\Protect Workbook\Protect CurrentSheet, xóa mật khẩu và lưu Flie
C.	vào File\Info\Protect Workbook\Protect Workbook Structure
D.	Click chuột phải tại tên Sheet\Unprotect Sheet Answer: A

32.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện lệnh Data\Filter và chỉ định điều kiện lọc tại một Trường (cột) trên cơ sở dữ liệu, Phát biểu nào sau đây là đúng?
A.	Cơ sở dữ liệu chỉ hiển thị những dòng thỏa mãn điều kiện lọc tại cột được chỉ định điều kiện lọc
B.	Cơ sở dữ liệu sẽ xóa những dòng không thỏa mãn điều kiện lọc tại cột được chỉ định điều kiện lọc
C.	Cơ sở dữ liệu sẽ xuất những dòng thỏa mãn điều kiện lọc tại cột được chỉ định điều kiện lọc ra vị trí khác trên bảng tính
 
